"","noise","CI95","CI80","ATE","SE","bias","alg"
"1",0,0.958,0.842,2.19958254433294,0.0241993968108119,0,"2 4 r=0 bias=0"
"2",0,0.082,0.046,2.19502252591704,0.00106423938550749,1,"2 4 r=0 bias=1"
"3",0,0.97,0.832,2.18643820377234,0.0242219254887498,0,"2 4 r=2 bias=0"
"4",0,0.078,0.042,2.19411924147388,0.00109907789722391,1,"2 4 r=2 bias=1"
"5",0,0.954,0.85,2.19922697597513,0.0239948136067337,0,"2 4 r=5 bias=0"
"6",0,0.084,0.058,2.19588832016694,0.00104184990985997,1,"2 4 r=5 bias=1"
"7",0,0.79,0.62,2.0628270630199,0.01373803444129,0,"1 1 bias=0"
"8",0.25,0.966,0.826,2.22380275496161,0.0249824052394672,0,"2 4 r=0 bias=0"
"9",0.25,0.086,0.054,2.24838434293762,0.00106306955114426,1,"2 4 r=0 bias=1"
"10",0.25,0.958,0.826,2.25512087260577,0.0258974430926519,0,"2 4 r=2 bias=0"
"11",0.25,0.062,0.038,2.2517353970157,0.00109516577400709,1,"2 4 r=2 bias=1"
"12",0.25,0.974,0.832,2.23580965254675,0.0270888744396259,0,"2 4 r=5 bias=0"
"13",0.25,0.068,0.044,2.24902227147884,0.00117503564840795,1,"2 4 r=5 bias=1"
"14",0.25,0.798,0.602,2.22809129342252,0.0154181596723779,0,"1 1 bias=0"
"15",0.5,0.954,0.806,2.28329655257449,0.0243871436234833,0,"2 4 r=0 bias=0"
"16",0.5,0.082,0.054,2.28774786880653,0.00108854058046244,1,"2 4 r=0 bias=1"
"17",0.5,0.956,0.832,2.27685876690942,0.0252913115206968,0,"2 4 r=2 bias=0"
"18",0.5,0.076,0.042,2.28873249719092,0.00111296196161239,1,"2 4 r=2 bias=1"
"19",0.5,0.966,0.846,2.29044849832489,0.0265365227799362,0,"2 4 r=5 bias=0"
"20",0.5,0.062,0.048,2.28928966470452,0.00114566682449525,1,"2 4 r=5 bias=1"
"21",0.5,0.8,0.62,2.33038116340064,0.0157534655822249,0,"1 1 bias=0"
"22",0.75,0.94,0.81,2.33022766096376,0.0242807772918381,0,"2 4 r=0 bias=0"
"23",0.75,0.084,0.062,2.32076036547529,0.00109147249773658,1,"2 4 r=0 bias=1"
"24",0.75,0.96,0.826,2.31318542242554,0.0251643790585816,0,"2 4 r=2 bias=0"
"25",0.75,0.096,0.058,2.31854926322098,0.00109434286761632,1,"2 4 r=2 bias=1"
"26",0.75,0.95,0.814,2.31598917527366,0.0266485428579271,0,"2 4 r=5 bias=0"
"27",0.75,0.096,0.072,2.31915756646193,0.00121145583247524,1,"2 4 r=5 bias=1"
"28",0.75,0.806,0.61,2.40768477257785,0.0183143408367734,0,"1 1 bias=0"
"29",1,0.954,0.798,2.35584537750589,0.0247283468442469,0,"2 4 r=0 bias=0"
"30",1,0.074,0.06,2.34636061214069,0.00111926684595003,1,"2 4 r=0 bias=1"
"31",1,0.964,0.844,2.34667304175845,0.0257108940493614,0,"2 4 r=2 bias=0"
"32",1,0.052,0.042,2.34542525455849,0.00110572832390802,1,"2 4 r=2 bias=1"
"33",1,0.97,0.868,2.3500743398814,0.0271244932680178,0,"2 4 r=5 bias=0"
"34",1,0.074,0.048,2.3432320796876,0.0011661432212339,1,"2 4 r=5 bias=1"
"35",1,0.806,0.606,2.45682818799776,0.0202034567649069,0,"1 1 bias=0"
